country_code;FL;UF;CF;EQ;LS;TS;VA;CY;DG;EH;WF
79;HIG;HIG;VLO;MED;LOW;no-data;HIG;LOW;MED;HIG;HIG
81;VLO;VLO;HIG;MED;no-data;MED;no-data;VLO;VLO;VLO;HIG
82;no-data;no-data;MED;VLO;no-data;LOW;no-data;no-data;no-data;VLO;VLO
83;HIG;HIG;HIG;HIG;HIG;HIG;LOW;HIG;VLO;MED;HIG
84;VLO;VLO;MED;VLO;no-data;no-data;no-data;VLO;LOW;LOW;MED
85;HIG;HIG;HIG;MED;LOW;LOW;MED;VLO;MED;MED;HIG
86;HIG;HIG;HIG;MED;no-data;MED;no-data;VLO;VLO;MED;HIG
87;no-data;no-data;HIG;VLO;no-data;HIG;LOW;HIG;no-data;MED;VLO
88;no-data;no-data;HIG;VLO;no-data;MED;LOW;MED;no-data;VLO;VLO
89;HIG;HIG;HIG;VLO;VLO;LOW;no-data;VLO;VLO;MED;HIG
90;HIG;HIG;HIG;VLO;no-data;LOW;no-data;VLO;HIG;HIG;HIG
91;LOW;LOW;VLO;LOW;no-data;MED;no-data;VLO;HIG;MED;VLO
92;HIG;HIG;VLO;HIG;HIG;no-data;HIG;VLO;LOW;HIG;HIG
93;HIG;HIG;HIG;MED;LOW;VLO;MED;VLO;MED;MED;HIG
94;HIG;HIG;HIG;MED;no-data;LOW;no-data;VLO;HIG;HIG;HIG
95;VLO;VLO;VLO;LOW;no-data;LOW;no-data;VLO;MED;MED;HIG
97;HIG;HIG;HIG;HIG;HIG;MED;HIG;VLO;MED;MED;HIG
98;no-data;no-data;HIG;MED;no-data;LOW;no-data;LOW;no-data;VLO;MED
99;VLO;LOW;MED;MED;HIG;MED;LOW;HIG;no-data;MED;VLO
100;VLO;MED;HIG;MED;LOW;MED;HIG;HIG;LOW;MED;VLO
101;no-data;no-data;MED;MED;no-data;HIG;VLO;HIG;no-data;MED;VLO
102;HIG;HIG;VLO;VLO;no-data;no-data;no-data;VLO;HIG;HIG;HIG
103;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;HIG;HIG
104;VLO;VLO;HIG;LOW;no-data;LOW;no-data;VLO;no-data;VLO;VLO
105;HIG;HIG;HIG;LOW;no-data;LOW;no-data;VLO;MED;HIG;HIG
106;HIG;HIG;HIG;LOW;VLO;LOW;no-data;VLO;MED;HIG;HIG
107;HIG;HIG;HIG;VLO;no-data;MED;no-data;LOW;VLO;MED;HIG
108;HIG;HIG;HIG;MED;VLO;LOW;no-data;HIG;MED;MED;HIG
109;no-data;no-data;MED;VLO;no-data;MED;LOW;VLO;no-data;VLO;VLO
110;VLO;VLO;VLO;MED;no-data;no-data;MED;VLO;MED;MED;HIG
111;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;HIG;HIG
112;no-data;no-data;no-data;VLO;no-data;no-data;no-data;VLO;no-data;MED;VLO
113;HIG;HIG;VLO;MED;no-data;no-data;no-data;VLO;MED;MED;HIG
114;no-data;no-data;MED;HIG;HIG;LOW;HIG;no-data;VLO;VLO;MED
115;HIG;HIG;HIG;MED;HIG;MED;LOW;HIG;HIG;HIG;HIG
116;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;MED;HIG
117;HIG;HIG;HIG;HIG;HIG;MED;HIG;MED;HIG;HIG;HIG
118;HIG;HIG;HIG;MED;HIG;VLO;VLO;VLO;HIG;HIG;HIG
119;HIG;LOW;HIG;VLO;no-data;MED;no-data;VLO;VLO;LOW;MED
120;HIG;HIG;HIG;VLO;no-data;LOW;no-data;VLO;no-data;VLO;MED
121;HIG;LOW;HIG;MED;VLO;MED;MED;VLO;HIG;HIG;HIG
122;HIG;HIG;HIG;HIG;MED;MED;HIG;VLO;MED;MED;HIG
123;HIG;HIG;HIG;MED;HIG;LOW;no-data;HIG;LOW;MED;HIG
126;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;HIG;HIG
127;no-data;no-data;VLO;VLO;no-data;MED;no-data;VLO;no-data;MED;VLO
128;VLO;VLO;HIG;LOW;no-data;LOW;no-data;VLO;no-data;VLO;MED
129;no-data;no-data;MED;VLO;no-data;HIG;no-data;HIG;no-data;LOW;VLO
130;HIG;LOW;MED;MED;VLO;no-data;MED;VLO;HIG;HIG;HIG
132;HIG;HIG;VLO;HIG;HIG;no-data;no-data;VLO;HIG;MED;HIG
133;HIG;HIG;HIG;MED;LOW;MED;HIG;VLO;MED;MED;HIG
134;no-data;no-data;VLO;VLO;no-data;no-data;no-data;MED;no-data;MED;VLO
135;VLO;VLO;HIG;VLO;no-data;HIG;no-data;LOW;no-data;MED;VLO
136;VLO;VLO;HIG;HIG;HIG;HIG;HIG;HIG;VLO;VLO;VLO
137;HIG;MED;HIG;MED;no-data;VLO;no-data;VLO;HIG;HIG;VLO
138;LOW;HIG;VLO;HIG;HIG;no-data;no-data;VLO;MED;MED;HIG
139;HIG;HIG;MED;MED;HIG;no-data;VLO;HIG;LOW;MED;HIG
140;HIG;HIG;HIG;VLO;no-data;no-data;no-data;VLO;LOW;LOW;MED
141;MED;LOW;VLO;MED;VLO;MED;MED;VLO;HIG;HIG;HIG
142;HIG;MED;VLO;MED;VLO;no-data;no-data;VLO;LOW;LOW;HIG
144;HIG;HIG;MED;VLO;no-data;LOW;no-data;VLO;VLO;MED;HIG
145;MED;LOW;HIG;LOW;no-data;MED;VLO;VLO;HIG;HIG;HIG
146;HIG;HIG;VLO;MED;LOW;no-data;no-data;VLO;VLO;LOW;LOW
147;HIG;HIG;HIG;VLO;no-data;no-data;no-data;VLO;LOW;LOW;MED
148;HIG;MED;VLO;MED;no-data;no-data;MED;VLO;MED;LOW;HIG
149;VLO;VLO;HIG;VLO;no-data;MED;no-data;HIG;MED;MED;MED
150;HIG;HIG;HIG;LOW;VLO;MED;MED;HIG;VLO;MED;HIG
151;no-data;no-data;MED;VLO;no-data;LOW;MED;VLO;no-data;VLO;VLO
152;HIG;HIG;VLO;MED;LOW;no-data;HIG;MED;LOW;HIG;HIG
153;HIG;HIG;HIG;MED;MED;HIG;VLO;HIG;VLO;MED;HIG
154;no-data;no-data;MED;VLO;no-data;MED;no-data;LOW;no-data;MED;VLO
155;HIG;HIG;VLO;LOW;no-data;no-data;VLO;VLO;HIG;HIG;HIG
156;HIG;MED;VLO;LOW;no-data;MED;no-data;VLO;no-data;MED;VLO
157;no-data;no-data;HIG;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
158;LOW;HIG;HIG;MED;LOW;MED;HIG;HIG;no-data;MED;VLO
159;HIG;HIG;HIG;VLO;no-data;MED;no-data;VLO;HIG;HIG;HIG
160;no-data;no-data;MED;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
161;VLO;VLO;HIG;LOW;no-data;LOW;MED;HIG;no-data;MED;VLO
162;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG
163;no-data;no-data;HIG;LOW;no-data;MED;no-data;HIG;no-data;MED;VLO
164;no-data;no-data;MED;VLO;no-data;MED;no-data;MED;no-data;LOW;VLO
165;HIG;HIG;VLO;MED;VLO;no-data;no-data;VLO;MED;MED;HIG
166;VLO;VLO;VLO;MED;VLO;LOW;no-data;VLO;MED;LOW;HIG
167;HIG;HIG;VLO;HIG;LOW;no-data;HIG;LOW;HIG;MED;HIG
168;VLO;VLO;MED;MED;no-data;MED;MED;HIG;no-data;MED;VLO
169;HIG;MED;HIG;MED;VLO;MED;no-data;VLO;MED;HIG;HIG
170;HIG;HIG;HIG;MED;no-data;MED;no-data;HIG;MED;HIG;HIG
171;HIG;HIG;HIG;MED;HIG;MED;MED;HIG;LOW;HIG;HIG
172;HIG;HIG;HIG;LOW;no-data;MED;no-data;VLO;HIG;MED;HIG
173;VLO;LOW;HIG;VLO;no-data;MED;no-data;VLO;no-data;MED;VLO
174;no-data;no-data;MED;VLO;no-data;LOW;no-data;HIG;no-data;MED;VLO
175;MED;HIG;VLO;MED;HIG;no-data;no-data;LOW;HIG;HIG;HIG
177;HIG;HIG;HIG;MED;no-data;VLO;MED;VLO;MED;LOW;HIG
178;LOW;HIG;HIG;HIG;LOW;HIG;LOW;HIG;VLO;MED;HIG
179;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;LOW;HIG
179;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;LOW;HIG
180;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;LOW;MED;HIG
181;HIG;HIG;VLO;VLO;no-data;no-data;VLO;VLO;HIG;HIG;HIG
182;HIG;HIG;HIG;VLO;VLO;LOW;MED;VLO;HIG;HIG;HIG
183;no-data;no-data;MED;VLO;no-data;HIG;no-data;HIG;no-data;MED;VLO
184;VLO;VLO;MED;VLO;no-data;MED;no-data;HIG;no-data;LOW;VLO
185;no-data;no-data;MED;MED;no-data;HIG;MED;HIG;no-data;MED;VLO
186;VLO;HIG;HIG;MED;no-data;LOW;no-data;VLO;VLO;VLO;MED
187;LOW;MED;HIG;MED;LOW;MED;no-data;HIG;HIG;HIG;VLO
188;HIG;HIG;HIG;MED;HIG;MED;LOW;HIG;HIG;HIG;HIG
189;no-data;no-data;MED;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
190;no-data;no-data;MED;VLO;no-data;MED;no-data;LOW;no-data;MED;VLO
191;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;VLO;MED;HIG
192;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;MED;HIG
194;HIG;HIG;VLO;MED;no-data;no-data;no-data;VLO;VLO;HIG;HIG
195;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;HIG;MED;HIG
196;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;HIG
197;no-data;no-data;HIG;VLO;no-data;HIG;LOW;LOW;no-data;LOW;VLO
198;HIG;HIG;HIG;LOW;VLO;no-data;no-data;VLO;MED;LOW;HIG
199;HIG;HIG;HIG;MED;LOW;MED;no-data;VLO;MED;MED;HIG
200;HIG;HIG;HIG;MED;VLO;LOW;no-data;HIG;LOW;MED;HIG
201;LOW;LOW;HIG;VLO;no-data;LOW;no-data;LOW;HIG;HIG;VLO
202;LOW;HIG;HIG;LOW;VLO;MED;HIG;HIG;LOW;MED;HIG
203;HIG;HIG;VLO;MED;LOW;no-data;no-data;VLO;MED;MED;HIG
204;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;HIG
205;HIG;HIG;VLO;MED;LOW;no-data;MED;VLO;MED;LOW;HIG
206;no-data;no-data;MED;VLO;no-data;MED;HIG;HIG;no-data;MED;VLO
207;no-data;no-data;MED;VLO;no-data;LOW;LOW;VLO;no-data;LOW;VLO
208;VLO;LOW;MED;MED;no-data;LOW;HIG;HIG;no-data;MED;VLO
209;VLO;LOW;MED;MED;HIG;MED;MED;HIG;no-data;MED;VLO
210;VLO;VLO;HIG;VLO;no-data;LOW;no-data;HIG;no-data;VLO;VLO
211;VLO;LOW;HIG;MED;HIG;MED;MED;HIG;LOW;MED;VLO
212;no-data;no-data;MED;MED;no-data;HIG;LOW;HIG;no-data;MED;VLO
213;VLO;VLO;VLO;MED;VLO;no-data;no-data;VLO;LOW;MED;HIG
214;VLO;LOW;MED;VLO;no-data;LOW;VLO;VLO;no-data;MED;VLO
215;MED;LOW;HIG;MED;no-data;LOW;HIG;LOW;HIG;HIG;HIG
217;HIG;HIG;MED;LOW;no-data;MED;no-data;VLO;HIG;HIG;HIG
220;VLO;VLO;HIG;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
221;HIG;HIG;HIG;LOW;LOW;LOW;no-data;VLO;VLO;HIG;HIG
222;HIG;HIG;HIG;LOW;no-data;LOW;no-data;VLO;no-data;MED;MED
223;HIG;HIG;VLO;MED;VLO;no-data;no-data;VLO;LOW;MED;HIG
224;HIG;HIG;HIG;MED;MED;LOW;no-data;VLO;LOW;MED;HIG
225;VLO;MED;HIG;HIG;HIG;HIG;HIG;HIG;VLO;MED;MED
226;HIG;HIG;HIG;MED;no-data;MED;LOW;LOW;MED;HIG;HIG
227;HIG;HIG;HIG;MED;VLO;MED;LOW;MED;MED;MED;HIG
228;no-data;no-data;MED;VLO;LOW;MED;MED;VLO;no-data;VLO;VLO
229;HIG;HIG;HIG;MED;VLO;MED;HIG;VLO;MED;MED;HIG
231;HIG;HIG;MED;VLO;no-data;MED;no-data;HIG;LOW;MED;HIG
233;HIG;HIG;HIG;VLO;no-data;MED;no-data;VLO;VLO;MED;HIG
234;no-data;no-data;VLO;MED;no-data;no-data;MED;no-data;VLO;VLO;VLO
235;HIG;HIG;VLO;LOW;no-data;no-data;no-data;LOW;LOW;MED;HIG
236;HIG;MED;HIG;VLO;no-data;VLO;no-data;VLO;VLO;LOW;MED
237;HIG;HIG;VLO;MED;HIG;no-data;no-data;VLO;LOW;LOW;MED
238;HIG;HIG;VLO;MED;HIG;MED;MED;VLO;HIG;HIG;HIG
239;HIG;HIG;VLO;HIG;HIG;no-data;no-data;VLO;MED;MED;HIG
240;HIG;HIG;HIG;MED;HIG;MED;no-data;HIG;MED;HIG;HIG
241;HIG;HIG;VLO;MED;LOW;no-data;no-data;VLO;MED;MED;HIG
242;MED;HIG;HIG;HIG;HIG;MED;MED;HIG;LOW;MED;HIG
243;HIG;MED;MED;MED;no-data;LOW;no-data;VLO;HIG;HIG;HIG
244;no-data;no-data;MED;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
245;no-data;no-data;HIG;HIG;no-data;HIG;MED;HIG;no-data;MED;VLO
246;HIG;HIG;MED;HIG;VLO;MED;no-data;HIG;LOW;MED;HIG
247;VLO;VLO;VLO;VLO;no-data;no-data;no-data;HIG;no-data;MED;VLO
248;HIG;HIG;HIG;MED;no-data;MED;LOW;VLO;MED;HIG;HIG
249;HIG;HIG;HIG;HIG;HIG;MED;HIG;VLO;HIG;HIG;HIG
250;HIG;HIG;VLO;HIG;HIG;no-data;no-data;VLO;HIG;HIG;HIG
251;VLO;VLO;HIG;VLO;no-data;LOW;no-data;HIG;VLO;MED;VLO
252;no-data;no-data;HIG;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
253;HIG;HIG;VLO;MED;MED;no-data;MED;VLO;MED;MED;HIG
254;HIG;HIG;VLO;MED;VLO;no-data;no-data;VLO;MED;MED;HIG
255;MED;LOW;HIG;MED;LOW;MED;no-data;LOW;HIG;HIG;VLO
256;HIG;MED;HIG;LOW;LOW;LOW;no-data;VLO;LOW;LOW;HIG
257;HIG;HIG;HIG;MED;HIG;LOW;HIG;LOW;MED;MED;HIG
258;VLO;VLO;MED;MED;no-data;LOW;no-data;HIG;MED;MED;VLO
259;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG
260;HIG;HIG;HIG;MED;no-data;MED;no-data;VLO;VLO;MED;HIG
261;HIG;HIG;VLO;HIG;HIG;no-data;no-data;VLO;HIG;HIG;HIG
262;VLO;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;MED;VLO
263;HIG;HIG;HIG;HIG;HIG;MED;no-data;HIG;MED;HIG;HIG
264;HIG;HIG;HIG;MED;HIG;MED;VLO;HIG;LOW;HIG;HIG
265;no-data;no-data;MED;VLO;no-data;LOW;no-data;HIG;no-data;MED;VLO
266;no-data;no-data;HIG;MED;no-data;HIG;LOW;HIG;no-data;MED;VLO
268;VLO;VLO;HIG;VLO;no-data;MED;no-data;VLO;HIG;HIG;VLO
269;HIG;HIG;HIG;MED;no-data;MED;MED;LOW;HIG;HIG;HIG
270;HIG;HIG;VLO;MED;no-data;no-data;HIG;LOW;MED;MED;HIG
271;HIG;HIG;VLO;MED;no-data;no-data;no-data;MED;HIG;MED;HIG
2647;HIG;HIG;MED;MED;MED;LOW;no-data;VLO;MED;MED;HIG
2648;HIG;HIG;VLO;MED;VLO;no-data;no-data;VLO;MED;MED;HIG
33364;VLO;HIG;HIG;VLO;no-data;MED;no-data;HIG;MED;MED;HIG
40765;HIG;HIG;HIG;MED;no-data;MED;no-data;VLO;HIG;HIG;HIG
74578;no-data;no-data;HIG;VLO;no-data;MED;HIG;HIG;no-data;VLO;VLO
75001;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
75002;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
75003;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
75004;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
75005;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
75006;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
75007;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
75008;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data;no-data
147295;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG
147296;HIG;HIG;HIG;HIG;HIG;HIG;LOW;HIG;LOW;HIG;HIG
