COD_URB,ISO_A3,NAM_1,COD_1,NAM_URB,NAM_0
4031,EGY,Fayoum,EGY009,Faiyum,Egypt
4034,IRQ,Al-Najaf,IRQ004,Al-Najaf,Iraq
4052,COL,Cundinamarca,COL016,Chía,Colombia
4053,VEN,Miranda,VEN016,Guarenas,Venezuela
4055,CAN,Nova Scotia / Nouvelle-Écosse,CAN007,Halifax,Canada
4056,BRA,Parana,BRA020,Maringá,Brazil
4062,FRA,Bourgogne,FRA006,Dijon,France
4064,DEU,Niedersachsen,DEU009,Hanover,Germany
4070,ZAF,Gauteng,ZAF003,Masetjhaba View,South Africa
4071,RUS,Ivanovskaya Oblast,RUS021,Ivanovo,Russia
4075,ETH,Amhara,ETH003,Debre Markos,Ethiopia
4079,AFG,Kunduz,AFG019,Kunduz,Afghanistan
4081,PAK,Khyber Pakhtunkhwa,PAK005,Timergara,Pakistan
4087,VNM,Ha Tinh,VNM024,Hà Tĩnh,Vietnam
4088,THA,Ubon Ratchathani,THA071,Ubon Ratchathani,Thailand
4089,PRK,Hwanghae-bukto,PRK004,Songnim,North Korea
4092,USA,California,USA005,Sacramento,United States
4100,ESP,La Rioja,ESP017,Logroño,Spain
4111,ZAF,Gauteng,ZAF003,Chief Albert Luthuli Park,South Africa
4112,RUS,Vladimirskaya Oblast,RUS084,Vladimir,Russia
4118,YEM,Ta`izz,YEM022,Ta'izz,Yemen
4123,IND,Rajasthan,IND029,Sri Ganganagar,India
4129,VNM,Quang Ninh,VNM049,Hạ Long,Vietnam
4132,PHL,Region IV-A (CALABARZON),PHL004,Lucena,Philippines
4134,MEX,Chihuahua,MEX008,Chihuahua,México
4137,ARG,Rio Negro,ARG016,Viedma,Argentina
4139,MAR,Tanger-Tétouan-Al Hoceima,MAR011,Tétouan,Morocco
4150,TUR,Eskisehir,TUR031,Eskisehir,Turkey
4152,RUS,Ryazanskaya Oblast,RUS063,Ryazan,Russia
4155,SDN,Khartoum,SDN005,Khartoum,Sudan
4156,ETH,SNNP,ETH010,Arba Minch,Ethiopia
4165,CHN,Nei Mongol Zizhiqu,CHN019,Bayannur,China
4175,VEN,Anzoategui,VEN002,Barcelona,Venezuela
4181,DZA,Bouira,DZA012,Bouira,Algeria
4182,FRA,Provence-Alpes-Cote-d'Azur,FRA022,Marseille,France
4183,NGA,Kwara,NGA024,Ilorin,Nigeria
4184,DEU,Hamburg,DEU006,Hamburg,Germany
4187,COD,Kasaï,COD018,Mweka,Democratic Republic of the Congo
4199,UZB,Namangan,UZB008,Namangan,Uzbekistan
4201,PAK,Khyber Pakhtunkhwa,PAK005,Shabqadar,Pakistan
4212,MEX,Aguascalientes,MEX001,Aguascalientes,México
4218,ESP,Comunidad Foral de Navarra,ESP012,Pamplona,Spain
4230,EGY,Gharbia,EGY010,El Mahalla El Kubra,Egypt
4247,JPN,Kagawa,JPN016,Takamatsu,Japan
4257,ESP,Región de Murcia,ESP020,Murcia,Spain
4259,NGA,Osun,NGA030,Ife,Nigeria
4260,FRA,Rhone-Alpes,FRA023,Grenoble,France
4265,TUR,Afyon,TUR003,Afyonkarahisar,Turkey
4267,EGY,Gharbia,EGY010,Al-Santa,Egypt
4274,IRN,Ghazvin,IRN007,Qazvin,Iran
4277,PAK,Khyber Pakhtunkhwa,PAK005,Peshawar,Pakistan
4283,VNM,Quang Binh,VNM046,Đồng Hới,Vietnam
4285,JPN,Hyoogo,JPN012,Himeji,Japan
4298,FRA,Franche-Comte,FRA011,Besançon,France
4300,ITA,Friuli-venezia Giulia,ITA006,Trieste,Italy
4301,POL,Podlaskie,POL010,Białystok,Poland
4303,TUR,Burdur,TUR020,Burdur,Turkey
4305,EGY,Kalyoubia,EGY014,Banha,Egypt
4306,RUS,Lipetskaya Oblast,RUS043,Lipetsk,Russia
4315,PAK,Sindh,PAK007,Shikarpur,Pakistan
4316,IND,Punjab,IND028,Amritsar,India
4317,BGD,Khulna,BGD004,Kushtia,Bangladesh
4319,MMR,Shan,MMR013,Lashio,Myanmar
4321,VNM,An Giang,VNM001,Châu Đốc,Vietnam
4323,JPN,Isikawa,JPN014,Kanazawa,Japan
4326,MEX,Zacatecas,MEX032,Zacatecas,México
4327,COL,Meta,COL022,Villavicencio,Colombia
4328,VEN,Sucre,VEN020,Cumana,Venezuela
4332,GBR,England,GBR002,Leeds,United Kingdom
4333,ESP,Aragón,ESP003,Zaragoza,Spain
4334,DZA,M'Sila,DZA026,M'Sila,Algeria
4337,DEU,Schleswig-Holstein,DEU015,Kiel,Germany
4338,ITA,Marche,ITA010,Ancona,Italy
4339,POL,Lubeiskie,POL004,Lublin,Poland
4356,CHN,Gansu Sheng,CHN005,Lanzhou,China
4362,PHL,Region V (Bicol Region),PHL005,Naga,Philippines
4364,MEX,Michoacán de Ocampo,MEX016,Morelia,México
4366,VEN,Nueva Esparta,VEN018,Porlamar,Venezuela
4376,ITA,Sicilia,ITA015,Palermo,Italy
4382,RUS,Voronezhskaya Oblast,RUS087,Voronezh,Russia
4383,UKR,Donets'ka,UKR006,Donetsk,Ukraine
4387,YEM,Ibb,YEM013,Ibb,Yemen
4389,UZB,Fergana,UZB003,Fergana,Uzbekistan
4399,JPN,Oosaka,JPN032,Osaka,Japan
4404,VEN,Bolivar,VEN006,Ciudad Bolivar,Venezuela
4407,MAR,Fès-Meknès,MAR004,Fez,Morocco
4408,GBR,England,GBR002,Wakefield,United Kingdom
4412,FRA,Lorraine,FRA016,Nancy,France
4416,COD,Kasaï-Central,COD019,Kananga,Democratic Republic of the Congo
4417,TUR,Isparta,TUR039,Isparta,Turkey
4424,IRQ,Al-Qadissiya,IRQ005,Ad Diwaniyah,Iraq
4431,BGD,Rajshahi,BGD006,Pabna,Bangladesh
4435,VNM,Kien Giang,VNM033,Rạch Giá,Vietnam
4436,PRK,Hwanghae-bukto,PRK004,Sariwon,North Korea
4438,PHL,Region VI (Western Visayas),PHL006,Iloilo City,Philippines
4443,ARG,Buenos Aires,ARG001,Buenos Aires,Argentina
4446,GBR,England,GBR002,Newcastle upon Tyne,United Kingdom
4448,DZA,Bejaia,DZA008,Bejaia,Algeria
4449,NGA,Osun,NGA030,Ikirun,Nigeria
4450,FRA,Provence-Alpes-Cote-d'Azur,FRA022,Toulon,France
4460,SDN,White Nile,SDN015,Kosti,Sudan
4465,AFG,Takhar,AFG031,Taloqan,Afghanistan
4478,MEX,Guanajuato,MEX011,León,México
4479,COL,Magdalena,COL021,Santa Marta,Colombia
4480,VEN,Monagas,VEN017,Maturin,Venezuela
4485,ESP,Comunitat Valenciana,ESP013,Alicante,Spain
4490,ITA,Campania,ITA004,Naples,Italy
4492,TUR,Bolu,TUR019,Bolu,Turkey
4495,UKR,Donets'ka,UKR006,Mariupol,Ukraine
4497,SDN,White Nile,SDN015,Rabak,Sudan
4506,BGD,Rajshahi,BGD006,Kazipur,Bangladesh
4509,IDN,Jambi,IDN005,Jambi,Indonesia
4512,JPN,Okinawa,JPN030,Naha,Japan
4519,BRA,Parana,BRA020,Londrina,Brazil
4522,ESP,Comunitat Valenciana,ESP013,Valencia,Spain
4527,ITA,Campania,ITA004,Caserta,Italy
4529,TUR,Antalya,TUR008,Antalya,Turkey
4534,SDN,Al Jazeera,SDN001,Al Managil,Sudan
4538,IRN,Khuzestan,IRN017,Ahwaz,Iran
4542,IND,Rajasthan,IND029,Bikaner,India
4552,MEX,Guanajuato,MEX011,Irapuato,México
4555,ARG,Misiones,ARG014,Posadas,Argentina
4558,GBR,England,GBR002,Coventry,United Kingdom
4567,ZAF,Kwa-Zulu Natal,ZAF004,Pietermaritzburg,South Africa
4575,IRN,Markazi,IRN021,Arak,Iran
4576,UZB,Andijan,UZB001,Andijon,Uzbekistan
4582,MMR,Shan,MMR013,Taunggyi,Myanmar
4587,PHL,Region IX (Zamboanga Peninsula),PHL009,Zamboanga City,Philippines
4591,VEN,Anzoategui,VEN002,Ciudad Guayana,Venezuela
4593,BRA,Para,BRA018,Belém,Brazil
4595,GBR,England,GBR002,Southampton,United Kingdom
4604,ZAF,Limpopo,ZAF005,Polokwane,South Africa
4605,EGY,Kalyoubia,EGY014,Cairo,Egypt
4621,VNM,An Giang,VNM001,Long Xuyên,Vietnam
4625,USA,Nevada,USA029,Las Vegas,United States
4629,ARG,Santa Cruz,ARG020,Río Gallegos,Argentina
4634,NGA,Osun,NGA030,Ilesa,Nigeria
4635,DZA,Setif,DZA037,Setif,Algeria
4641,ZAF,Kwa-Zulu Natal,ZAF004,Madadeni,South Africa
4644,RUS,Nizhegorodskaya Oblast,RUS052,Nizhny Novgorod,Russia
4647,IRQ,Al-Muthanna,IRQ003,As Samawah,Iraq
4648,YEM,Ta`izz,YEM022,Hawrah,Yemen
4649,IRN,Khuzestan,IRN017,Mollasani,Iran
4655,CHN,Ningxia Huizu Zizhiqu,CHN020,Yinchuan,China
4659,PRK,Hamgyong-bukto,PRK002,Chŏngjin,North Korea
4663,MEX,Guerrero,MEX012,Acapulco,México
4666,ARG,Buenos Aires,ARG001,La Plata,Argentina
4679,EGY,Menia,EGY017,Samalut,Egypt
4681,RUS,Tambovskaya Oblast,RUS073,Tambov,Russia
4682,SDN,Al Jazeera,SDN001,Wad Madanī,Sudan
4684,IRQ,Wassit,IRQ018,Al-Kut,Iraq
4685,YEM,Dhamar,YEM010,Dhamar,Yemen
4694,IDN,Kepulauan Riau,IDN010,Batam City,Indonesia
4698,PHL,Region VI (Western Visayas),PHL006,Bacolod,Philippines
4699,USA,Arizona,USA003,Phoenix,United States
4701,COL,Santander,COL028,Bucaramanga,Colombia
4702,VEN,Delta Amacuro,VEN009,Tucupita,Venezuela
4705,MAR,L'oriental,MAR006,Nador,Morocco
4706,GBR,England,GBR002,Sheffield,United Kingdom
4725,AFG,Parwan,AFG028,Charikar,Afghanistan
4732,VNM,Dong Thap,VNM020,Cao Lãnh,Vietnam
4733,PRK,Hamgyong-namdo,PRK003,Hamhung,North Korea
4736,USA,Arizona,USA003,Mesa,United States
4742,GBR,England,GBR002,Derby,United Kingdom
4745,DZA,Ouargla,DZA033,Ouargla,Algeria
4746,FRA,Provence-Alpes-Cote-d'Azur,FRA022,Nice,France
4758,YEM,Ibb,YEM013,Yarim,Yemen
4768,VNM,Can Tho,VNM013,Cần Thơ,Vietnam
4771,PHL,Region V (Bicol Region),PHL005,Legazpi,Philippines
4773,MEX,Coahuila de Zaragoza,MEX005,Torreón,México
4780,NGA,Ondo,NGA029,Ondo,Nigeria
4782,FRA,Alsace,FRA002,Strasbourg,France
4787,ZAF,Kwa-Zulu Natal,ZAF004,Durban,South Africa
4789,UKR,Luhans'ka,UKR014,Luhansk,Ukraine
4809,MEX,Guanajuato,MEX011,Guanajuato,México
4813,MAR,L'oriental,MAR006,Oujda,Morocco
4817,DZA,Jijel,DZA023,Jijel,Algeria
4818,FRA,Corse,FRA010,Ajaccio,France
4820,ITA,Sicilia,ITA015,Catania,Italy
4821,COD,Lualaba,COD024,Kasaji,Democratic Republic of the Congo
4822,TUR,Ankara,TUR007,Sincan,Turkey
4834,IND,Punjab,IND028,Batala,India
4839,VNM,Tay Ninh,VNM053,Tây Ninh,Vietnam
4843,USA,Arizona,USA003,Tucson,United States
4845,COL,Guaviare,COL018,San José del Guaviare,Colombia
4851,DZA,Biskra,DZA009,Biskra,Algeria
4865,AFG,Kabul,AFG014,Kabul,Afghanistan
4866,PAK,Khyber Pakhtunkhwa,PAK005,Kohat,Pakistan
4868,BGD,Rajshahi,BGD006,Sirajganj,Bangladesh
4872,VNM,Bac Lieu,VNM005,Bạc Liêu,Vietnam
4874,JPN,Siga,JPN035,Otsu,Japan
4878,COL,Cesar,COL013,Valledupar,Colombia
4879,ARG,Buenos Aires,ARG001,Mar del Plata,Argentina
4885,DEU,Mecklenburg-Vorpommern,DEU008,Schwerin,Germany
4895,IRQ,Thi Qar,IRQ017,Al-Shatrah,Iraq
4905,VNM,Thua Thien-Hue,VNM057,Huế,Vietnam
4907,JPN,Niigata,JPN028,Niigata,Japan
4909,USA,Oregon,USA038,Salem,United States
4911,COL,Casanare,COL011,Yopal,Colombia
4918,DEU,Thueringen,DEU016,Erfurt,Germany
4920,COD,Lomami,COD023,Mwene-Ditu,Democratic Republic of the Congo
4921,TUR,Ankara,TUR007,Ankara,Turkey
4925,SDN,Blue Nile,SDN002,Ad-Damazin,Sudan
4937,VNM,Vinh Long,VNM061,Vinh Long,Vietnam
4938,PRK,Hamgyong-namdo,PRK003,Jakdo-dong,North Korea
4941,USA,Oregon,USA038,Portland,United States
4942,MEX,Guanajuato,MEX011,Celaya,México
4943,COL,Norte de Santander,COL024,Cúcuta,Colombia
4945,BRA,Goias,BRA009,Goiânia,Brazil
4952,COD,Kasaï-Oriental,COD020,Kasaï-Oriental,Democratic Republic of the Congo
4955,ZAF,Mpumalanga,ZAF006,Kanyamazane,South Africa
4959,IRQ,Thi Qar,IRQ017,Nasiriyah,Iraq
4961,IRN,Tehran,IRN025,Safadasht,Iran
4968,IDN,Sumatera Selatan,IDN006,Palembang,Indonesia
4974,USA,Washington,USA048,Tacoma,United States
4975,COL,La Guajira,COL020,Riohacha,Colombia
4978,ESP,Cataluña/Catalunya,ESP008,Terrassa,Spain
4981,DEU,Bayern,DEU002,Nuremberg,Germany
4987,RUS,Rostovskaya Oblast,RUS062,Rostov-on-Don,Russia
4992,IRN,Tehran,IRN025,Karaj,Iran
4994,PAK,Khyber Pakhtunkhwa,PAK005,Takht Bhai,Pakistan
5000,VNM,Soc Trang,VNM051,Sóc Trăng,Vietnam
5021,IRQ,Maysan,IRQ014,Amarah,Iraq
5024,AFG,Kapisa,AFG016,Mahmud-e Raqi,Afghanistan
5025,PAK,Khyber Pakhtunkhwa,PAK005,Charsadda,Pakistan
5029,MMR,Yangon,MMR015,Yangon,Myanmar
5035,MEX,Guerrero,MEX012,Chilpancingo,México
5036,USA,Texas,USA044,El Paso,United States
5043,DEU,Bayern,DEU002,Augsburg,Germany
5056,PAK,Sindh,PAK007,Sukkur,Pakistan
5062,VNM,Tien Giang,VNM058,Mỹ Tho,Vietnam
5065,PHL,Region VII (Central Visayas),PHL007,Cebu City,Philippines
5070,GBR,England,GBR002,Nottingham,United Kingdom
5071,ESP,Cataluña/Catalunya,ESP008,Barcelona,Spain
5074,DEU,Sachsen-Anhalt,DEU014,Magdeburg,Germany
5077,TUR,Konya,TUR053,Konya,Turkey
5080,RUS,Krasnodarskiy Kray,RUS038,Krasnodar,Russia
5097,MEX,Querétaro,MEX022,Querétaro,México
5098,USA,Washington,USA048,Seattle,United States
5099,COL,Arauca,COL003,Arauca,Colombia
5101,GBR,England,GBR002,Middlesbrough,United Kingdom
5108,TUR,Kastamonu,TUR046,Kastamonu,Turkey
5111,SDN,Gadaref,SDN003,Al-Qadarif,Sudan
5114,YEM,`Adan,YEM001,Bi'r Rubak,Yemen
5118,IND,Gujarat,IND012,Surendranagar,India
5119,BGD,Rajshahi,BGD006,Shahajadpur,Bangladesh
5124,PRK,Hwanghae-namdo,PRK005,Haeju,North Korea
5125,JPN,Nara,JPN027,Nara,Japan
5138,TUR,Cankiri,TUR023,Çankırı,Turkey
5144,YEM,`Adan,YEM001,`Adan,Yemen
5148,IND,Punjab,IND028,Pathankot,India
5157,MEX,Chihuahua,MEX008,Ciudad Juárez,México
5161,ESP,Illes Balears,ESP016,Palma de Mallorca,Spain
5163,DZA,Batna,DZA006,Batna,Algeria
5167,EGY,Dakahlia,EGY007,El Mansura,Egypt
5174,IRN,Tehran,IRN025,Tehran,Iran
5181,IDN,Lampung,IDN008,Bandar Lampung,Indonesia
5182,VNM,Ben Tre,VNM007,Bến Tre,Vietnam
5194,ITA,Puglia,ITA013,Bari,Italy
5196,EGY,Dakahlia,EGY007,Mit Ghamr,Egypt
5198,RUS,Komi Rep.,RUS034,Syktyvkar,Russia
5201,IRQ,Al-Basrah,IRQ002,Basra,Iraq
5207,BGD,Mymensingh,BGD005,Jamalpur,Bangladesh
5211,VNM,Tra Vinh,VNM059,Trà Vinh,Vietnam
5213,JPN,Aiti,JPN001,Nagoya,Japan
5215,MEX,San Luis Potosí,MEX024,San Luis Potosí,México
5216,USA,Idaho,USA013,Boise,United States
5218,GBR,England,GBR002,Portsmouth,United Kingdom
5225,TUR,Kirsehir,TUR051,Kırşehir,Turkey
5230,YEM,Al Bayda',YEM003,Al Beidha,Yemen
5231,IRN,Ghom,IRN008,Qom,Iran
5235,BGD,Khulna,BGD004,Jashore,Bangladesh
5236,CHN,Nei Mongol Zizhiqu,CHN019,Baotou,China
5237,MMR,Kayah,MMR005,Loikaw,Myanmar
5239,VNM,Ho Chi Minh,VNM029,Ho Chi Minh City,Vietnam
5241,JPN,Nagano,JPN025,Nagano,Japan
5243,MEX,México,MEX015,Toluca,México
5249,DEU,Bayern,DEU002,Munich,Germany
5251,COD,Lomami,COD023,Ngandajika,Democratic Republic of the Congo
5281,TUR,Corum,TUR024,Çorum,Turkey
5287,AFG,Nangarhar,AFG022,Jalalabad,Afghanistan
5288,PAK,Sindh,PAK007,Nawabshah,Pakistan
5290,BGD,Mymensingh,BGD005,Sherpur,Bangladesh
5294,VNM,Quang Nam,VNM047,Đà Nẵng,Vietnam
5303,DZA,Constantine,DZA015,Constantine,Algeria
5304,DEU,Sachsen,DEU013,Leipzig,Germany
5311,IRN,Tehran,IRN025,Qarchak,Iran
5313,AFG,Khost,AFG017,Khost,Afghanistan
5314,PAK,Khyber Pakhtunkhwa,PAK005,Mardan,Pakistan
5315,IND,Rajasthan,IND029,Jodhpur,India
5318,MMR,Yangon,MMR015,Thanlyin,Myanmar
5326,BRA,Goias,BRA009,Anápolis,Brazil
5327,GBR,England,GBR002,Leicester,United Kingdom
5332,EGY,Menia,EGY017,Al Minya,Egypt
5344,MMR,Bago,MMR002,Pegu,Myanmar
5351,USA,Utah,USA045,Provo,United States
5359,TUR,Nevsehir,TUR060,Nevşehir,Turkey
5360,RUS,Mordoviya Rep.,RUS046,Saransk,Russia
5363,IRN,Tehran,IRN025,Pardis,Iran
5369,CHN,Nei Mongol Zizhiqu,CHN019,Donghe,China
5376,MEX,Morelos,MEX017,Cuernavaca,México
5377,USA,Utah,USA045,Salt Lake City,United States
5383,COD,Haut-Lomami,COD015,Kamina,Democratic Republic of the Congo
5385,TUR,Nigde,TUR061,Niğde,Turkey
5386,RUS,Adygeya Rep.,RUS001,Maykop,Russia
5389,IRN,Tehran,IRN025,Pishva,Iran
5392,PAK,Khyber Pakhtunkhwa,PAK005,Mingora,Pakistan
5398,IDN,Banten,IDN016,Cilegon,Indonesia
5401,PHL,Region X (Northern Mindanao),PHL010,Iligan,Philippines
5402,MEX,México,MEX015,Mexico City,México
5409,COD,Tshopo,COD031,Kisangani,Democratic Republic of the Congo
5423,IDN,Banten,IDN016,Pandeglang,Indonesia
5430,GBR,England,GBR002,Reading,United Kingdom
5432,DZA,Skikda,DZA039,Skikda,Algeria
5433,DEU,Brandenburg,DEU004,Potsdam,Germany
5434,COD,Lualaba,COD024,Kolwezi,Democratic Republic of the Congo
5436,TUR,Icel,TUR037,Mersin,Turkey
5438,SDN,Kassala,SDN004,Kassala,Sudan
5441,YEM,Hadramawt,YEM011,Mukalla,Yemen
5451,PHL,Region VIII (Eastern Visayas),PHL008,Tacloban,Philippines
5453,USA,New Mexico,USA032,Albuquerque,United States
5460,EGY,Kalyoubia,EGY014,شبلنجة,Egypt
5461,TUR,Amasya,TUR006,Amasya,Turkey
5462,RUS,Penzenskaya Oblast,RUS058,Penza,Russia
5472,IDN,Jawa Barat,IDN012,Jakarta,Indonesia
5483,DEU,Berlin,DEU003,Berlin,Germany
5492,PAK,Khyber Pakhtunkhwa,PAK005,Dera Ismail Khan,Pakistan
5497,IDN,Banten,IDN016,Rangkasbitung,Indonesia
5500,JPN,Miyagi,JPN023,Sendai,Japan
5507,DZA,El Oued,DZA018,El Oued,Algeria
5511,TUR,Samsun,TUR066,Samsun,Turkey
5512,RUS,Chuvashiya Rep.,RUS016,Cheboksary,Russia
5515,IRN,Chaharmahal-o bakhtiyar,IRN003,Shahr-e Kord,Iran
5523,PRK,Kangwon-do,PRK007,Wonsan,North Korea
5525,PHL,Region X (Northern Mindanao),PHL010,Cagayan de Oro,Philippines
5528,BRA,Sao Paulo,BRA029,São José do Rio Preto,Brazil
5530,NGA,Sokoto,NGA034,Sokoto,Nigeria
5532,DEU,Sachsen,DEU013,Dresden,Germany
5546,IDN,Kepulauan Bangka Belitung,IDN009,Pangkalpinang,Indonesia
5554,NGA,Ondo,NGA029,Akure,Nigeria
5559,TUR,Kayseri,TUR047,Kayseri,Turkey
5561,SDN,Red Sea,SDN010,Port Sudan,Sudan
5564,PAK,Khyber Pakhtunkhwa,PAK005,Nowshera,Pakistan
5579,DZA,Guelma,DZA021,Guelma,Algeria
5583,RUS,Mariy-el Rep.,RUS045,Yoshkar-Ola,Russia
5588,IND,Punjab,IND028,Bathinda,India
5589,BGD,Dhaka,BGD003,Kalihati,Bangladesh
5592,VNM,Gia Lai,VNM021,Pleiku,Vietnam
5601,NGA,Ekiti,NGA013,Ado Ekiti,Nigeria
5612,BGD,Dhaka,BGD003,Tangail,Bangladesh
5614,MMR,Kayin,MMR006,Hpa-An,Myanmar
5615,VNM,Ba Ria-Vung Tau,VNM002,Vũng Tàu,Vietnam
5621,USA,Texas,USA044,Laredo,United States
5622,BRA,Rio Grande Do Sul,BRA025,Pelotas,Brazil
5628,TUR,Adana,TUR001,Adana,Turkey
5639,IDN,Jawa Barat,IDN012,Cipanas,Indonesia
5640,PRK,Kaesong-si,PRK006,Kaesong,North Korea
5648,DZA,Annaba,DZA005,Annaba,Algeria
5652,RUS,Kirovskaya Oblast,RUS033,Kirov,Russia
5657,IND,Punjab,IND028,Jalandhar,India
5666,USA,Texas,USA044,McAllen,United States
5669,NGA,Ekiti,NGA013,Ikere-Ekiti,Nigeria
5678,PAK,Sindh,PAK007,Hyderabad,Pakistan
5681,CHN,Yunnan Sheng,CHN030,Baoshan,China
5685,JPN,Gunma,JPN006,Takasaki [Maebashi],Japan
5688,USA,Washington,USA048,Spokane,United States
5689,BRA,Parana,BRA020,Ponta Grossa,Brazil
5695,TUR,Tokat,TUR073,Tokat,Turkey
5701,IND,Gujarat,IND012,Mahesana,India
5703,CHN,Nei Mongol Zizhiqu,CHN019,Dongsheng,China
5707,JPN,Aiti,JPN001,Toyohashi,Japan
5716,EGY,Shrkia,EGY024,Minya Al-Qamh,Egypt
5720,IRN,Esfahan,IRN005,Isfahan,Iran
5735,DZA,Tebessa,DZA042,Tebessa,Algeria
5736,COD,Maniema,COD008,Kindu,Democratic Republic of the Congo
5741,IRN,Mazandaran,IRN022,Sari,Iran
5748,IDN,Jawa Barat,IDN012,Bandung,Indonesia
5749,JPN,Gunma,JPN006,Isesaki,Japan
5758,EGY,Beni Suef,EGY005,Beni Suef,Egypt
5769,IDN,Jawa Barat,IDN012,Purwakarta,Indonesia
5770,JPN,Yamanasi,JPN047,Kofu,Japan
5778,COD,Lualaba,COD024,Fungurume,Democratic Republic of the Congo
5781,RUS,Stavropolskiy Kray,RUS071,Stavropol,Russia
5793,MEX,Hidalgo,MEX013,Pachuca,México
5794,USA,Texas,USA044,San Antonio,United States
5795,BRA,Rio Grande Do Sul,BRA025,Caxias do Sul,Brazil
5811,JPN,Gunma,JPN006,Ota,Japan
5812,PHL,Region XII (SOCCSKSARGEN),PHL012,General Santos,Philippines
5816,GBR,England,GBR002,London,United Kingdom
5822,ETH,Sidama,ETH009,Hawassa,Ethiopia
5827,CHN,Gansu Sheng,CHN005,Tianshui,China
5828,MMR,Tanintharyi,MMR014,Dawei,Myanmar
5830,IDN,Jawa Barat,IDN012,Tarogong,Indonesia
5831,JPN,Sizuoka,JPN037,Hamamatsu,Japan
5840,TUR,Sivas,TUR071,Sivas,Turkey
5844,PAK,Khyber Pakhtunkhwa,PAK005,Yar Hussain,Pakistan
5847,CHN,Nei Mongol Zizhiqu,CHN019,Hohhot,China
5849,VNM,Dac Lac,VNM016,Buôn Ma Thuột,Vietnam
5853,MEX,Puebla,MEX021,Puebla,México
5855,BRA,Distrito Federal,BRA007,Brasilia,Brazil
5856,GBR,England,GBR002,Luton,United Kingdom
5858,COD,Haut-Katanga,COD014,Kambove,Democratic Republic of the Congo
5862,ETH,Addis Ababa,ETH001,Addis Ababa,Ethiopia
5868,MMR,Tanintharyi,MMR014,Myeik,Myanmar
5869,VNM,Quang Ngai,VNM048,Quảng Ngãi,Vietnam
5871,JPN,Totigi,JPN041,Utsunomiya,Japan
5872,PHL,Region XI (Davao Region),PHL011,Davao City,Philippines
5873,MEX,Coahuila de Zaragoza,MEX005,Saltillo,México
5879,EGY,Menia,EGY017,Mallawi,Egypt
5880,TUR,Osmaniye,TUR063,Osmaniye,Turkey
5881,RUS,Saratovskaya Oblast,RUS068,Saratov,Russia
5887,CHN,Gansu Sheng,CHN005,Pingliang,China
5890,IDN,Jawa Barat,IDN012,Hegarsari,Indonesia
5901,RUS,Tatarstan Rep.,RUS074,Kazan,Russia
5905,IND,Rajasthan,IND029,Pali,India
5906,BGD,Khulna,BGD004,Khulna,Bangladesh
5911,PHL,Region XI (Davao Region),PHL011,Panabo,Philippines
5913,USA,Colorado,USA006,Colorado Springs,United States
5915,GBR,England,GBR002,Brighton,United Kingdom
5917,COD,Haut-Katanga,COD014,Likasi,Democratic Republic of the Congo
5918,EGY,Shrkia,EGY024,Al Zaqaziq,Egypt
5919,TUR,Hatay,TUR036,İskenderun,Turkey
5922,IRN,Bushehr,IRN002,Jalali,Iran
5928,IDN,Jawa Barat,IDN012,Sumedang,Indonesia
5929,JPN,Saitama,JPN034,Tokyo,Japan
5930,PHL,Region XI (Davao Region),PHL011,Tagum,Philippines
5931,MEX,Tlaxcala,MEX029,Tlaxcala,México
5932,USA,Colorado,USA006,Denver,United States
5933,BRA,Rio Grande Do Sul,BRA025,Novo Hamburgo,Brazil
5934,GBR,England,GBR002,Hull,United Kingdom
5935,NGA,Edo,NGA012,Benin City,Nigeria
5944,BGD,Dhaka,BGD003,Faridpur,Bangladesh
5951,USA,Texas,USA044,Austin,United States
5952,BRA,Distrito Federal,BRA007,Valparaíso de Goiás,Brazil
5954,NGA,Ondo,NGA029,Owo,Nigeria
5958,RUS,Volgogradskaya Oblast,RUS085,Volgograd,Russia
5963,BGD,Mymensingh,BGD005,Mymensingh,Bangladesh
5971,BRA,Rio Grande Do Sul,BRA025,Porto Alegre,Brazil
5973,NGA,Delta,NGA010,Sapele,Nigeria
5976,TUR,Hatay,TUR036,Hatay,Turkey
5978,ETH,Oromia,ETH008,Shashamane,Ethiopia
5979,IRN,Kohgiluyeh va boyerahma,IRN018,Yasuj,Iran
5984,VNM,Binh Thuan,VNM011,Phan Thiết,Vietnam
5985,IDN,Jawa Barat,IDN012,Tasikmalaya,Indonesia
5989,BRA,Sao Paulo,BRA029,Bauru,Brazil
5993,EGY,Shrkia,EGY024,Diyarb Nigm,Egypt
6000,BGD,Dhaka,BGD003,Savar,Bangladesh
6002,VNM,Lam Dong,VNM036,Đà Lạt,Vietnam
6005,MEX,Coahuila de Zaragoza,MEX005,Monclova,México
6009,NGA,Delta,NGA010,Warri,Nigeria
6031,RUS,Ulyanovskaya Oblast,RUS082,Ulyanovsk,Russia
6038,VNM,Binh Dinh,VNM008,Quy Nhơn,Vietnam
6045,NGA,Ondo,NGA029,Ikare,Nigeria
6046,COD,Haut-Lomami,COD015,Malemba-Nkulu,Democratic Republic of the Congo
6047,EGY,Assiut,EGY002,Dairut,Egypt
6054,BGD,Dhaka,BGD003,Louhajang,Bangladesh
6066,TUR,K.maras,TUR042,Kahramanmaraş,Turkey
6074,VNM,Phu Yen,VNM045,Tuy Hòa,Vietnam
