COD_URB,ISO_A3,NAM_1,COD_1,NAM_URB,NAM_0
2761,AGO,Huíla,AGO010,Matala,Angola
2763,TCD,Wadi Fira,TCD023,Biltine,Chad
2764,ROU,Brăila,ROU008,Brăila,Romania
2766,UKR,Cherkas'ka,UKR001,Cherkasy,Ukraine
2771,ZMB,Eastern,ZMB103,Chipata,Zambia
2772,SYR,As Suwaydā',SYR004,As Suwayda,Syria
2774,MOZ,Zambézia,MOZ011,Quelimane,Mozambique
2776,IRQ,Salah Al-Din,IRQ016,Samarra,Iraq
2778,IRN,Ilam,IRN013,Ilam,Iran
2781,SOM,Hiraan,SOM008,Beledweyne,Somalia
2782,UZB,Jizzakh,UZB004,Jizzakh,Uzbekistan
2784,KAZ,Vostochno-kazachstanskaya,KAZ013,Ust-Kamenogorsk,Kazakhstan
2787,CHN,Xinjiang Uygur Zizhiqu,CHN028,Korla,China
2790,THA,Chonburi,THA011,Chon Buri,Thailand
2795,KOR,Kyongsangbuk-do,KOR010,Gumi-si,South Korea
2797,PHL,Region III (Central Luzon),PHL003,Cabanatuan,Philippines
2798,AUS,Queensland,AUS007,Gold Coast,Australia
2803,COL,Córdoba,COL015,Montería,Colombia
2805,VEN,Portuguesa,VEN019,Acarigua,Venezuela
2811,CIV,Lacs,CIV029,Dimbokro,Côte d'Ivoire
2822,CMR,Adamaoua,CMR001,Ngaoundéré,Cameroon
2827,ROU,Constanţa,ROU015,Constanța,Romania
2832,RUS,Vologodskaya Oblast,RUS086,Vologda,Russia
2838,ETH,Oromia,ETH008,Jimma,Ethiopia
2839,IRQ,Kirkuk,IRQ013,Kirkuk,Iraq
2841,IRN,Ardebil,IRN001,Sareyn,Iran
2842,SAU,Ash Sharqīyah,SAU008,Hafar Al-Batin,Saudi Arabia
2847,KAZ,Almaty City area,KAZ004,Almaty,Kazakhstan
2854,IDN,Sumatera Utara,IDN002,Tanjung Balai,Indonesia
2855,VNM,Hai Duong,VNM025,Hải Dương,Vietnam
2863,MEX,Nayarit,MEX018,Tepic,México
2866,COL,Caldas,COL009,Manizales,Colombia
2867,PER,Ica,PER011,Ica,Peru
2869,CAN,Ontario,CAN009,Toronto,Canada
2870,CHL,Libertador Gral. Bernardo O'Higgins,CHL008,Rancagua,Chile
2871,ARG,La Pampa,ARG011,Santa Rosa,Argentina
2878,FRA,Ile-de-France,FRA013,Paris,France
2880,NGA,Oyo,NGA031,Ibadan,Nigeria
2883,NER,Zinder,NER007,Zinder,Niger
2884,ITA,Trentino-alto Adige,ITA017,Trento,Italy
2885,CMR,Est,CMR003,Bertoua,Cameroon
2887,AGO,Cuanza Norte,AGO006,N'dalatando,Angola
2894,RUS,Orlovskaya Oblast,RUS057,Oryol,Russia
2898,TZA,Singida,TZA028,Singida,Tanzania
2902,KEN,Mombasa,KEN028,Mombasa,Kenya
2903,IRN,Kordestan,IRN019,Sanandaj,Iran
